participant_idx,order_condition,theme_position,theme,theme_label,question_type,time,within_theme_order,global_order,time_clipped,within_order_label,is_first,position_group
8,PTB,6,firearm,Firearm Checks,Baseline,6.345,2,12,6.345,Second,False,Middle (Q2-6)
8,PTB,6,firearm,Firearm Checks,Error Threshold,16.67,1,11,16.67,First,False,Middle (Q2-6)
8,PTB,7,auto,Autonomous Driving,Baseline,7.562,2,14,7.562,Second,False,Last (Q7)
8,PTB,7,auto,Autonomous Driving,Error Threshold,4.98,1,13,4.98,First,False,Last (Q7)
9,TBP,1,armed,Armed Conflict,Error Threshold,13.55,1,1,13.55,First,True,First (Q1)
9,TBP,2,conv,Convictions,Baseline,9.33,2,4,9.33,Second,False,Middle (Q2-6)
9,TBP,2,conv,Convictions,Error Threshold,9.865,1,3,9.865,First,False,Middle (Q2-6)
9,TBP,3,welfare,Welfare Benefits,Baseline,9.941,2,6,9.941,Second,False,Middle (Q2-6)
9,TBP,3,welfare,Welfare Benefits,Error Threshold,8.519,1,5,8.519,First,False,Middle (Q2-6)
9,TBP,4,immi,Immigration,Error Threshold,23.053,1,7,23.053,First,False,Middle (Q2-6)
9,TBP,5,vote,Voting,Baseline,14.033,2,10,14.033,Second,False,Middle (Q2-6)
9,TBP,5,vote,Voting,Error Threshold,11.948,1,9,11.948,First,False,Middle (Q2-6)
9,TBP,6,air,Airport Security,Baseline,6.297,2,12,6.297,Second,False,Middle (Q2-6)
9,TBP,6,air,Airport Security,Error Threshold,3.375,1,11,3.375,First,False,Middle (Q2-6)
9,TBP,7,auto,Autonomous Driving,Error Threshold,34.902,1,13,34.902,First,False,Last (Q7)
10,TBP,1,disease,Disease Screening,Error Threshold,2.441,1,1,2.441,First,True,First (Q1)
10,TBP,2,armed,Armed Conflict,Error Threshold,4.858,1,3,4.858,First,False,Middle (Q2-6)
10,TBP,3,welfare,Welfare Benefits,Error Threshold,4.993,1,5,4.993,First,False,Middle (Q2-6)
10,TBP,4,immi,Immigration,Baseline,2.326,2,8,2.326,Second,False,Middle (Q2-6)
10,TBP,4,immi,Immigration,Error Threshold,3.215,1,7,3.215,First,False,Middle (Q2-6)
10,TBP,5,vote,Voting,Error Threshold,2.845,1,9,2.845,First,False,Middle (Q2-6)
10,TBP,6,firearm,Firearm Checks,Error Threshold,2.453,1,11,2.453,First,False,Middle (Q2-6)
